objectid,title,date,format,arastirmaci,eser_adi,sayfa_no,padisah_donemi,muellif_adi,muellif_olum_tarihi,mustensih_adi,telif_tarih_hicri,telif_basim,telif_tarih_miladi,istinsah_tarihi,eser_dili,eser_alt_turu,yazin_turu,yazi_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_tarihi,baglantili_eser_dili,cilt_sayisi,yazildigi_yer,istinsah_yeri,kutupane_koleksiyon,alt_koleksiyon_numara,su_anda_kutupane,latitude,longitude,ulke,sehir,takdim_hediye,tarihsel_kapsam,tematik_kapsam,notlar,arastirmaci_notu,,
babinger_0021,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,British Museum,or. 7234,,51.51953386,-0.1269388205,İngiltere,Londra,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0022,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Laleli,Nu. 1995 (?),Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0023,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Abdullah Efendi,Nu. 240 (?),Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0024,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Umumiyye,Nu. 5030 (?),Beyazıt,41.01122884,28.96551583,Türkiye,İstanbul,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0025,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Mehmediyye,Nu. 4186 (?),Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0026,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Berlin Devlet Kütüphanesi,Nu. 476,,52.507756,13.37086122,Almanya,Berlin,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0027,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Berlin Devlet Kütüphanesi,Nu. 477,,52.507756,13.37086122,Almanya,Berlin,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0028,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Berlin Devlet Kütüphanesi,Nu. 478,,52.507756,13.37086122,Almanya,Berlin,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0029,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Gotha Kütüphanesi,Nu. 254,,50.94788471,10.70937885,Almanya,Gotha,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0030,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Gotha Kütüphanesi,Nu. 255,,50.94788471,10.70937885,Almanya,Gotha,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0031,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Gotha Kütüphanesi,Nu. 256,,50.94788471,10.70937885,Almanya,Gotha,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0032,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Gotha Kütüphanesi,Nu. 257,,50.94788471,10.70937885,Almanya,Gotha,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0033,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Leipzig Belediye Kütüphanesi,Nu. 280,,51.33420465,12.37474944,Almanya,Leipzig,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0034,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Viyana Milli Kütüphanesi,Nu. 799,,48.20638245,16.36692749,Avusturya,Viyana,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0035,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,"Floransa, Med. Laur. Küt.",Nu. 248,,43.77477637,11.25462007,İtalya,Floransa,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0036,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Roma Casanatense Kütüphanesi,Nu. 4,,41.89884762,12.47948329,İtalya,Roma,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0037,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Paris Milli Kütüphanesi,or. 321,,48.83393323,2.375792984,Fransa,Paris,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0038,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Paris Milli Kütüphanesi,or. 343,,48.83393323,2.375792984,Fransa,Paris,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
